AL, 07, 2008082806   , BEST,   0, 181.00000  754.00000 045.00000 0995.00000 TS,  34, NEQ,   45,   30,   30,   30, 1007,  180,  30.00000  55,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008082812   , BEST,   0, 179.00000  757.00000 060.00000 0984.00000 TS,  34, NEQ,   60,   45,   40,   40, 1007,  180,  25.00000  75,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008082818   , BEST,   0, 180.00000  762.00000 060.00000 0984.00000 TS,  34, NEQ,   60,   40,   40,   40, 1007,  180,  15.00000  75,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008082900   , BEST,   0, 178.00000  770.00000 060.00000 0987.00000 TS,  34, NEQ,   90,   80,   40,   50, 1007,  225,  10.00000  75,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008082906   , BEST,   0, 180.00000  777.00000 055.00000 0990.00000 TS,  34, NEQ,  120,  120,   40,   60, 1007,  225,  20.00000  65,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008082912   , BEST,   0, 183.00000  784.00000 050.00000 0989.00000 TS,  34, NEQ,  120,  120,   40,   60, 1007,  225,  25.00000  65,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008082918   , BEST,   0, 188.00000  792.00000 065.00000 0984.00000 HU,  34, NEQ,  130,  120,   70,  100, 1008,  225,  25.00000  80,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008083000   , BEST,   0, 192.00000  800.00000 075.00000 0975.00000 HU,  34, NEQ,  140,  120,   90,  120, 1006,  250,  20.00000  85,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008083006   , BEST,   0, 197.00000  808.00000 085.00000 0968.00000 HU,  34, NEQ,  140,  120,   75,  120, 1007,  250,  20.00000 105,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008083012   , BEST,   0, 207.00000  816.00000 110.00000 0955.00000 HU,  34, NEQ,  140,  120,   75,  120, 1007,  250,  20.00000 135,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008083018   , BEST,   0, 216.00000  826.00000 125.00000 0943.00000 HU,  34, NEQ,  150,  120,   90,  120, 1008,  250,  15.00000 155,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008083100   , BEST,   0, 227.00000  834.00000 120.00000 0950.00000 HU,  34, NEQ,  160,  120,  100,  135, 1008,  275,  15.00000 155,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008083106   , BEST,   0, 236.00000  844.00000 105.00000 0960.00000 HU,  34, NEQ,  175,  135,  120,  135, 1008,  275,  15.00000 140,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008083112   , BEST,   0, 248.00000  855.00000 100.00000 0961.00000 HU,  34, NEQ,  190,  150,  120,  150, 1008,  275,  15.00000 130,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008083118   , BEST,   0, 259.00000  867.00000 095.00000 0960.00000 HU,  34, NEQ,  200,  175,  130,  165, 1008,  275,  15.00000 120,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008090100   , BEST,   0, 269.00000  877.00000 095.00000 0953.00000 HU,  34, NEQ,  200,  180,  140,  180, 1008,  275,  20.00000 120,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008090106   , BEST,   0, 279.00000  890.00000 095.00000 0954.00000 HU,  34, NEQ,  220,  200,  140,  160, 1007,  240,  25.00000 120,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008090112   , BEST,   0, 288.00000  903.00000 095.00000 0955.00000 HU,  34, NEQ,  200,  200,  140,  150, 1007,  240,  25.00000 120,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008090118   , BEST,   0, 298.00000  914.00000 085.00000 0958.00000 HU,  34, NEQ,  150,  160,  140,   75, 1008,  225,  25.00000 105,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008090200   , BEST,   0, 307.00000  923.00000 060.00000 0971.00000 TS,  34, NEQ,  100,  100,   75,   60, 1004,  200,  20.00000  75,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
AL, 07, 2008090206   , BEST,   0, 314.00000  931.00000 040.00000 0981.00000 TS,  34, NEQ,   60,   40,    0,   40, 1005,  180,  30.00000  50,   0,   L,   0,    ,   0,   0,     GUSTAV, M,
